IdentityKey,IdentityName,Isomorphism,ShapeCode,_2001_16_1,_2001_16_2,_2001_16_3,_2001_16_4,_2001_16_5,_2001_16_6,_2001_2_1,_2001_2_2,_2001_2_3,_2001_2_4,_2001_2_5,_2001_2_6,_2001_2_7,_2001_2_8,_2001_2_9,_2001_2_10,_2001_32_1,_2001_32_2,_2001_32_3,_2001_32_4,_2001_32_5,_2001_32_6,_2001_4_1,_2001_4_2,_2001_4_3,_2001_4_4,_2001_4_5,_2001_4_6,_2001_4_7,_2001_4_8,_2001_4_9,_2001_4_10,_2001_4_11,_2001_4_12,_2001_4_13,_2001_4_14,_2001_4_15,_2001_4_16,_2001_4_17,_2001_4_18,_2001_4_19,_2001_4_20,_2001_8_1,_2001_8_2,_2001_8_3,_2001_8_4,_2001_8_5,_2001_8_6,_2001_8_7,_2001_8_8,_2001_8_9,_2001_8_10,_2001_8_11,_2001_8_12,_2001_8_13,_2001_8_14,_2001_8_15,_2001_8_16,_2001_8_17,_2001_8_18,_2001_8_19,_2001_8_20,_2002_16384_1,_2002_16384_2,_2002_16384_3,_2002_16384_4,_2002_32768_1,_2002_32768_2,_2002_32768_3,_2002_32768_4,_2002_8192_1,_2002_8192_2,_2002_8192_3,_2002_8192_4,_2002_8192_5,_2006_549755813888_1,_2006_549755813888_2,_2006_549755813888_3,_2006_549755813888_4,_2006_549755813888_5,_2006_549755813888_6,_2006_549755813888_7,_2006_549755813888_8,_2008_16_1,_2008_16_2,_2008_16_3,_2008_16_4,_2008_16_5,_2008_16_6,_2008_16_Offset_1,_2008_16_Offset_2,_2008_16_Offset_3,_2008_16_Offset_4,_2008_16_Offset_5,_2008_16_Offset_6,_2008_16_Offset_7,_2008_16_Offset_8,_2008_16_Offset_9,_2008_16_Offset_10,_2008_16_Offset_11,_2008_16_Offset_12,_2008_2_1,_2008_2_2,_2008_2_3,_2008_2_4,_2008_2_5,_2008_2_6,_2008_2_7,_2008_2_8,_2008_2_9,_2008_2_10,_2008_2_Offset_1,_2008_2_Offset_2,_2008_2_Offset_3,_2008_2_Offset_4,_2008_2_Offset_5,_2008_2_Offset_6,_2008_2_Offset_7,_2008_2_Offset_8,_2008_2_Offset_9,_2008_2_Offset_10,_2008_2_Offset_11,_2008_2_Offset_12,_2008_2_Offset_13,_2008_2_Offset_14,_2008_2_Offset_15,_2008_2_Offset_16,_2008_2_Offset_17,_2008_2_Offset_18,_2008_2_Offset_19,_2008_2_Offset_20,_2008_32_1,_2008_32_2,_2008_32_3,_2008_32_4,_2008_32_5,_2008_32_6,_2008_32_Offset_1,_2008_32_Offset_2,_2008_32_Offset_3,_2008_32_Offset_4,_2008_32_Offset_5,_2008_32_Offset_6,_2008_32_Offset_7,_2008_32_Offset_8,_2008_32_Offset_9,_2008_32_Offset_10,_2008_32_Offset_11,_2008_32_Offset_12,_2008_4_1,_2008_4_2,_2008_4_3,_2008_4_4,_2008_4_5,_2008_4_6,_2008_4_7,_2008_4_8,_2008_4_9,_2008_4_10,_2008_4_11,_2008_4_12,_2008_4_13,_2008_4_14,_2008_4_15,_2008_4_16,_2008_4_17,_2008_4_18,_2008_4_19,_2008_4_20,_2008_4_Offset_1,_2008_4_Offset_2,_2008_4_Offset_3,_2008_4_Offset_4,_2008_4_Offset_5,_2008_4_Offset_6,_2008_4_Offset_7,_2008_4_Offset_8,_2008_4_Offset_9,_2008_4_Offset_10,_2008_4_Offset_11,_2008_4_Offset_12,_2008_4_Offset_13,_2008_4_Offset_14,_2008_4_Offset_15,_2008_4_Offset_16,_2008_4_Offset_17,_2008_4_Offset_18,_2008_4_Offset_19,_2008_4_Offset_20,_2008_4_Offset_21,_2008_4_Offset_22,_2008_4_Offset_23,_2008_4_Offset_24,_2008_4_Offset_25,_2008_4_Offset_26,_2008_4_Offset_27,_2008_4_Offset_28,_2008_4_Offset_29,_2008_4_Offset_30,_2008_4_Offset_31,_2008_4_Offset_32,_2008_4_Offset_33,_2008_4_Offset_34,_2008_4_Offset_35,_2008_4_Offset_36,_2008_4_Offset_37,_2008_4_Offset_38,_2008_4_Offset_39,_2008_4_Offset_40,_2008_8_1,_2008_8_2,_2008_8_3,_2008_8_4,_2008_8_5,_2008_8_6,_2008_8_7,_2008_8_8,_2008_8_9,_2008_8_10,_2008_8_11,_2008_8_12,_2008_8_13,_2008_8_14,_2008_8_15,_2008_8_16,_2008_8_17,_2008_8_18,_2008_8_19,_2008_8_20,_2008_8_Offset_1,_2008_8_Offset_2,_2008_8_Offset_3,_2008_8_Offset_4,_2008_8_Offset_5,_2008_8_Offset_6,_2008_8_Offset_7,_2008_8_Offset_8,_2008_8_Offset_9,_2008_8_Offset_10,_2008_8_Offset_11,_2008_8_Offset_12,_2008_8_Offset_13,_2008_8_Offset_14,_2008_8_Offset_15,_2008_8_Offset_16,_2008_8_Offset_17,_2008_8_Offset_18,_2008_8_Offset_19,_2008_8_Offset_20,_2008_8_Offset_21,_2008_8_Offset_22,_2008_8_Offset_23,_2008_8_Offset_24,_2008_8_Offset_25,_2008_8_Offset_26,_2008_8_Offset_27,_2008_8_Offset_28,_2008_8_Offset_29,_2008_8_Offset_30,_2008_8_Offset_31,_2008_8_Offset_32,_2008_8_Offset_33,_2008_8_Offset_34,_2008_8_Offset_35,_2008_8_Offset_36,_2008_8_Offset_37,_2008_8_Offset_38,_2008_8_Offset_39,_2008_8_Offset_40,_2013_1_1,_2013_1_2,_2013_1_3,_2013_1_4,_2018_16384_1,_2018_16384_2,_2018_16384_3,_2018_16384_4,_2018_16384_Offset_1,_2018_16384_Offset_2,_2018_16384_Offset_3,_2018_16384_Offset_4,_2018_16384_Offset_5,_2018_16384_Offset_6,_2018_16384_Offset_7,_2018_16384_Offset_8,_2018_32768_1,_2018_32768_2,_2018_32768_3,_2018_32768_4,_2018_32768_Offset_1,_2018_32768_Offset_2,_2018_32768_Offset_3,_2018_32768_Offset_4,_2018_32768_Offset_5,_2018_32768_Offset_6,_2018_32768_Offset_7,_2018_32768_Offset_8,_2018_8192_1,_2018_8192_2,_2018_8192_3,_2018_8192_4,_2018_8192_5,_2018_8192_Offset_1,_2018_8192_Offset_2,_2018_8192_Offset_3,_2018_8192_Offset_4,_2018_8192_Offset_5,_2018_8192_Offset_6,_2018_8192_Offset_7,_2018_8192_Offset_8,_2018_8192_Offset_9,_2018_8192_Offset_10,_2027_1_1,_2027_1_2,_2027_1_3,_2027_1_4,_2034_1_1,_2034_1_2,_2034_1_3,_2034_1_4
8,w3,5;120.0,0130,4.51202001274813,15.2448408131,5.56171655238024,17.3771347922271,9.41670034628707,10.6066936327524,7.28010988928052,7.07106781186548,26.4764045897475,12.0415945787923,7.81024967590665,30.4630924234556,10.1980390271856,33.5410196624968,17,22.8035085019828,5,23.5372045918796,8.94427190999916,26.0192236625154,13.6014705087354,17.4928556845359,3.30356130996418,3.9142302984319,13.5324579889044,5.98138474325762,3.98918936246579,7.680348947533,17.5779509740074,6.99705751585798,6.25588684144227,3.43005304961256,20.5995381890902,11.7765108578147,28.2984273659995,30.234093091706,13.0543421313261,23.4686257598732,10.8485422388488,15.1836707977307,11.7101778843985,6.1091918311616,3.16227766016838,4.12310562561766,22.0907220343745,9.89949493661167,4.12310562561766,8.24621125123532,25.6320112359526,9,6.32455532033676,3.60555127546399,29.1547594742265,15.2315462117278,28.1602556806574,30.2654919008431,5,22.4722050542442,10.816653826392,15.6204993518133,17.8044938147649,2.23606797749979,8.53391012034058,10.973274041665,6.71111706040764,4.4175652277417,8.39513447806384,11.14866795025,15.1828062229678,6.42603265613746,7.06036479542132,11.088718013464,14.0434477863181,19.7652763480735,8.48077979447376,45,206.565048217773,116.565048217773,206.565048217773,243.434951782227,26.5650520324707,306.869903564453,135,142.000717163086,252.956390380859,280.146667480469,266.9892578125,298.791839599609,59.0932083129883,3.55555534362793,-2.77783203125,4.46825408935547,14.5753173828125,-0.979799270629883,5.4747314453125,0.912698745727539,17.3531494140625,-4.53535461425781,8.2525634765625,-5.44805335998535,-9.1005859375,15.9453954696655,81.8698959350586,259.114471435547,318.366455078125,140.194427490234,246.801406860352,281.309936523438,259.695159912109,298.072479248047,52.1250152587891,-7,-2,-1,-7,5,26,-9,8,6,-5,12,28,-2,10,6,33,-8,15,-14,-18,143.130096435547,257.735229492188,296.565063476563,267.797393798828,306.027374267578,59.0362434387207,4,-3,5,23,-4,8,1,26,-8,11,-9,-15,19.6533832550049,96.5197601318359,264.244232177734,313.152313232422,192.875381469727,165.76252746582,241.612426757813,245.432876586914,289.722198486328,245.095031738281,263.429412841797,285.21630859375,73.3438339233398,81.3338928222656,73.7962951660156,67.2093963623047,122.876342773438,128.463302612305,207.815277099609,143.471221923828,-3.11111068725586,-1.111083984375,0.44444465637207,-3.888916015625,1.35714340209961,13.4642333984375,-4.09090995788574,4.3636474609375,3.88888931274414,0.888916015625,7.44444465637207,-1.888916015625,8.35714340209961,15.4642333984375,2.90909004211426,6.3636474609375,-2.11111068725586,5.888916015625,1.44444465637207,3.111083984375,2.35714340209961,20.4642333984375,-3.09090995788574,11.3636474609375,-8.11111068725586,-27.111083984375,-4.55555534362793,-29.888916015625,-3.64285659790039,-12.5357666015625,-9.09090995788574,-21.6363525390625,5.88888931274414,-9.111083984375,9.44444465637207,-11.888916015625,10.3571434020996,5.4642333984375,4.90909004211426,-3.6363525390625,18.4349479675293,104.036247253418,264.805572509766,315,194.036239624023,165.963760375977,249.443954467773,270,288.434936523438,236.309936523438,264.093872070313,293.198577880859,73.4956359863281,82.4053573608398,53.1301040649414,57.7243537902832,123.690071105957,129.805572509766,231.8427734375,153.434951782227,-3,-1,1,-4,2,22,-7,7,4,1,8,-2,9,24,0,9,-2,6,2,3,3,29,-6,14,-8,-27,-4,-30,-3,-4,-12,-19,6,-9,10,-12,11,14,2,-1,180,135,276.340179443359,315,252.705154418945,275.325744628906,73.2758712768555,217.240447998047,2.11111068725586,8.111083984375,-1.44444465637207,10.888916015625,-2.35714340209961,-6.4642333984375,3.09090995788574,2.6363525390625,253.203811645508,278.116668701172,80.2389984130859,180.329788208008,2,8,-2,11,-3,-15,6,0,274.663818359375,234.584533691406,268.261993408203,73.6195907592773,173.479858398438,-1,7,6,9,0,14,-6,-19,8,-1,9,9,28,11,1.20532332227204,1.09473425877656,3.88109746394999,1.89113641790394
7,w2,5;120.0,0130,11.889943502043,12.2487040710131,5.57136670425435,23.5169051576759,15.801787218747,12.5803730552454,3.60555127546399,26,18.3575597506858,14.3178210632764,24.1867732448956,18.9736659610103,12.0830459735946,42.9534631898291,32.2024843762092,13.9283882771841,10.770329614269,18.4390889145858,5.09901951359278,28,14.2126704035519,19.2353840616713,1.89735694562002,12.163479879394,11.4233604540214,7.13862612203451,1.84391220160221,10.9443080866345,13.8876982996643,5.24975794643248,25.4636927014972,13.9488567310926,37.4114710224351,28.2800223749448,18.0942084219828,29.8995845269763,10.6650440253428,14.7363556628731,12.7200763282718,21.4327886040696,16.8687777880468,7.18053058842362,2,10.1980390271856,18.1107702762748,7.07106781186548,2.23606797749979,9.4339811320566,20.6155281280883,5,26.0768096208106,16.1245154965971,44.0454310910905,27.8926513619627,17.464249196573,28.2311884269862,11.1803398874989,15.1327459504216,12.369316876853,20.6155281280883,21.9317121994613,7.28010988928052,1.45247041150978,12.6667819367419,11.0824344931501,6.32155279649239,1.30951235292314,10.7689854762831,17.8044143749597,6.27138262928734,0.860498325438986,3.29287054567642,26.4210776296174,17.6351118861002,13.494425782237,0,270,116.565048217773,270,247.380142211914,206.565048217773,345.963745117188,161.565048217773,104.64884185791,258.581176757813,338.962524414063,271.417877197266,301.289733886719,52.6917572021484,3.00689697265625,-11.5034484863281,2.42498779296875,12.0062561035156,-5.20001220703125,2,-0.5819091796875,23.5097045898438,-8.2069091796875,13.5034484863281,-7.625,-10.0062561035156,33.6900672912598,90,299.357757568359,347.905242919922,97.1250152587891,288.434936523438,335.556030273438,282.094757080078,295.769317626953,68.9624862670898,-3,-2,0,-26,-9,16,-14,3,3,-24,-6,18,-11,5,-9,42,-14,29,-5,-13,111.801406860352,257.47119140625,348.690063476563,270,309.289398193359,62.1027297973633,4,-10,4,18,-5,1,0,28,-9,11,-9,-17,18.4352397918701,95.6944885253906,266.863647460938,348.690124511719,229.398300170898,112.606025695801,254.869262695313,319.635528564453,274.053527832031,265.036346435547,269.042755126953,284.331085205078,113.448089599609,109.960540771484,154.486129760742,97.8001861572266,163.559616088867,135.195556640625,209.889694213867,167.124954223633,-1.79998779296875,-0.600006103515625,1.2069091796875,-12.1034545898438,0.625,11.40625,-7,1.39999389648438,1.20001220703125,1.39999389648438,4.2069091796875,-10.1034545898438,3.625,13.40625,-4,3.39999389648438,-1.79998779296875,25.3999938964844,1.2069091796875,13.8965454101563,0.625,37.40625,-7,27.3999938964844,7.20001220703125,-16.6000061035156,10.2069091796875,-28.1034545898438,9.625,-4.59375,2,-14.6000061035156,12.2000122070313,-3.60000610351563,15.2069091796875,-15.1034545898438,14.625,8.40625,7,-1.60000610351563,0,101.309928894043,263.659820556641,351.869903564453,243.434951782227,122.005386352539,255.963760375977,323.130096435547,274.398712158203,262.874969482422,267.397430419922,284.534454345703,113.629379272461,112.932098388672,190.304840087891,97.5946426391602,165.963760375977,140.906143188477,223.152389526367,164.054611206055,-2,0,2,-10,2,18,-7,1,1,2,5,-8,5,20,-4,3,-2,26,2,16,2,44,-7,27,7,-16,11,-26,11,2,2,-15,12,-3,16,-13,16,15,7,-2,315,236.309936523438,239.036239624023,90,224.070404052734,278.916656494141,82.8395462036133,170.992309570313,0.79998779296875,0.600006103515625,-2.2069091796875,12.1034545898438,-1.625,-11.40625,6,-1.39999389648438,198.257186889648,284.830352783203,81.0938720703125,174.60400390625,1,0,-3,10,-3,-18,6,-1,331.526245117188,227.050918579102,271.640533447266,117.869110107422,168.935562133789,-1,0,2,2,-1,26,8,-16,13,-3,5,29,32,15,0.486963663645133,4.0343115469817,2.50227610956198,2.1849210427057
7,w2,5;120.0,0130,11.889943502043,5.40368436234691,5.57136670425435,14.9511218976793,15.801787218747,9.50367656037057,3.60555127546399,26,7.61577310586391,14.3178210632764,24.1867732448956,10.816653826392,12.0830459735946,33.1360830515618,32.2024843762092,17.464249196573,10.770329614269,5.09901951359278,5.09901951359278,11.0453610171873,14.2126704035519,10,1.89735694562002,12.163479879394,3.68780454253425,7.13862612203451,1.84391220160221,10.9443080866345,7.22494407554256,5.24975794643248,25.4636927014972,13.9488567310926,28.8998143173674,28.2800223749448,8.98888066369355,19.1874217120517,4.24265363463334,11.4612420077151,12.7200763282718,21.4327886040696,16.4012135126547,7.18053058842362,2,10.1980390271856,3.16227766016838,7.07106781186548,2.23606797749979,9.4339811320566,6.70820393249937,5,26.0768096208106,16.1245154965971,27.1661554144122,27.8926513619627,8.60232526704263,17.0293863659264,6,11.6619037896906,12.369316876853,20.6155281280883,17.1172427686237,7.28010988928052,4.91495683786203,7.00769499786025,8.91305094086485,9.11527464302745,5.54073559551294,5.44316963413291,7.57720967164919,8.81879595365471,5.53428765123133,3.99370628667505,20.577010812707,13.0679534056723,15.5179530750226,0,270,116.565048217773,270,180,90,345.963745117188,161.565048217773,104.64884185791,218.991058349609,338.962524414063,265.422973632813,301.289733886719,8.47111320495605,3.00689697265625,-11.5034484863281,4.19998168945313,3.39999389648438,-5.20001220703125,2,1.19308471679688,14.9034423828125,-8.2069091796875,13.5034484863281,-9.39999389648438,-1.39999389648438,33.6900672912598,90,246.801406860352,347.905242919922,97.1250152587891,236.309936523438,335.556030273438,264.805572509766,295.769317626953,13.2405195236206,-3,-2,0,-26,3,7,-14,3,3,-24,6,9,-11,5,3,33,-14,29,-17,-4,111.801406860352,191.309936523438,348.690063476563,264.805572509766,309.289398193359,0,4,-10,5,1,-5,1,1,11,-9,11,-10,0,18.4352397918701,95.6944885253906,229.398651123047,348.690124511719,229.398300170898,112.606025695801,221.633499145508,319.635528564453,274.053527832031,265.036346435547,265.236358642578,284.331085205078,57.7244415283203,84.637809753418,81.8698425292969,29.2488536834717,163.559616088867,135.195556640625,179.30126953125,167.124954223633,-1.79998779296875,-0.600006103515625,1.2069091796875,-12.1034545898438,2.39999389648438,2.79998779296875,-7,1.39999389648438,1.20001220703125,1.39999389648438,4.2069091796875,-10.1034545898438,5.39999389648438,4.79998779296875,-4,3.39999389648438,-1.79998779296875,25.3999938964844,1.2069091796875,13.8965454101563,2.39999389648438,28.7999877929688,-7,27.3999938964844,-4.79998779296875,-7.60000610351563,-1.7930908203125,-19.1034545898438,-0.600006103515625,-4.20001220703125,-10,-5.60000610351563,12.2000122070313,-3.60000610351563,15.2069091796875,-15.1034545898438,16.3999938964844,-0.20001220703125,7,-1.60000610351563,0,101.309928894043,198.434951782227,351.869903564453,243.434951782227,122.005386352539,206.565048217773,323.130096435547,274.398712158203,262.874969482422,263.659820556641,284.534454345703,54.4623222351074,86.6335372924805,90,30.9637565612793,165.963760375977,140.906143188477,173.290161132813,164.054611206055,-2,0,2,-10,3,1,-7,1,1,2,5,-8,6,3,-4,3,-2,26,2,16,3,27,-7,27,-5,-7,-1,-17,0,-6,-10,-6,12,-3,16,-13,17,-2,7,-2,315,236.309936523438,108.434951782227,90,99.5784759521484,288.202667236328,67.6997985839844,131.314697265625,0.79998779296875,-5.39999389648438,-2.2069091796875,6.10345458984375,-3.39999389648438,-8.79998779296875,6,-7.39999389648438,100.585556030273,303.220977783203,58.2952156066895,133.030639648438,1,-6,-3,4,-4,-7,6,-7,79.7778091430664,120.348495483398,272.735778808594,72.2583084106445,147.023071289063,-1,-6,2,-4,-1,20,-4,-13,13,-9,5,29,10,15,0.486963663645133,4.0343115469817,1.138672264017,2.1849210427057
