IdentityKey,IdentityName,Isomorphism,ShapeCode,_2001_16_1,_2001_16_2,_2001_16_3,_2001_2_1,_2001_2_2,_2001_2_3,_2001_2_4,_2001_2_5,_2001_2_6,_2001_32_1,_2001_32_2,_2001_32_3,_2001_4_1,_2001_4_2,_2001_4_3,_2001_4_4,_2001_4_5,_2001_4_6,_2001_4_7,_2001_4_8,_2001_4_9,_2001_4_10,_2001_4_11,_2001_4_12,_2001_8_1,_2001_8_2,_2001_8_3,_2001_8_4,_2001_8_5,_2001_8_6,_2001_8_7,_2001_8_8,_2001_8_9,_2001_8_10,_2001_8_11,_2001_8_12,_2002_16384_1,_2002_16384_2,_2002_16384_3,_2002_32768_1,_2002_32768_2,_2002_32768_3,_2002_8192_1,_2002_8192_2,_2002_8192_3,_2002_8192_4,_2006_549755813888_1,_2006_549755813888_2,_2006_549755813888_3,_2006_549755813888_4,_2006_549755813888_5,_2006_549755813888_6,_2008_16_1,_2008_16_2,_2008_16_3,_2008_16_Offset_1,_2008_16_Offset_2,_2008_16_Offset_3,_2008_16_Offset_4,_2008_16_Offset_5,_2008_16_Offset_6,_2008_2_1,_2008_2_2,_2008_2_3,_2008_2_4,_2008_2_5,_2008_2_6,_2008_2_Offset_1,_2008_2_Offset_2,_2008_2_Offset_3,_2008_2_Offset_4,_2008_2_Offset_5,_2008_2_Offset_6,_2008_2_Offset_7,_2008_2_Offset_8,_2008_2_Offset_9,_2008_2_Offset_10,_2008_2_Offset_11,_2008_2_Offset_12,_2008_32_1,_2008_32_2,_2008_32_3,_2008_32_Offset_1,_2008_32_Offset_2,_2008_32_Offset_3,_2008_32_Offset_4,_2008_32_Offset_5,_2008_32_Offset_6,_2008_4_1,_2008_4_2,_2008_4_3,_2008_4_4,_2008_4_5,_2008_4_6,_2008_4_7,_2008_4_8,_2008_4_9,_2008_4_10,_2008_4_11,_2008_4_12,_2008_4_Offset_1,_2008_4_Offset_2,_2008_4_Offset_3,_2008_4_Offset_4,_2008_4_Offset_5,_2008_4_Offset_6,_2008_4_Offset_7,_2008_4_Offset_8,_2008_4_Offset_9,_2008_4_Offset_10,_2008_4_Offset_11,_2008_4_Offset_12,_2008_4_Offset_13,_2008_4_Offset_14,_2008_4_Offset_15,_2008_4_Offset_16,_2008_4_Offset_17,_2008_4_Offset_18,_2008_4_Offset_19,_2008_4_Offset_20,_2008_4_Offset_21,_2008_4_Offset_22,_2008_4_Offset_23,_2008_4_Offset_24,_2008_8_1,_2008_8_2,_2008_8_3,_2008_8_4,_2008_8_5,_2008_8_6,_2008_8_7,_2008_8_8,_2008_8_9,_2008_8_10,_2008_8_11,_2008_8_12,_2008_8_Offset_1,_2008_8_Offset_2,_2008_8_Offset_3,_2008_8_Offset_4,_2008_8_Offset_5,_2008_8_Offset_6,_2008_8_Offset_7,_2008_8_Offset_8,_2008_8_Offset_9,_2008_8_Offset_10,_2008_8_Offset_11,_2008_8_Offset_12,_2008_8_Offset_13,_2008_8_Offset_14,_2008_8_Offset_15,_2008_8_Offset_16,_2008_8_Offset_17,_2008_8_Offset_18,_2008_8_Offset_19,_2008_8_Offset_20,_2008_8_Offset_21,_2008_8_Offset_22,_2008_8_Offset_23,_2008_8_Offset_24,_2013_1_1,_2013_1_2,_2013_1_3,_2018_16384_1,_2018_16384_2,_2018_16384_3,_2018_16384_Offset_1,_2018_16384_Offset_2,_2018_16384_Offset_3,_2018_16384_Offset_4,_2018_16384_Offset_5,_2018_16384_Offset_6,_2018_32768_1,_2018_32768_2,_2018_32768_3,_2018_32768_Offset_1,_2018_32768_Offset_2,_2018_32768_Offset_3,_2018_32768_Offset_4,_2018_32768_Offset_5,_2018_32768_Offset_6,_2018_8192_1,_2018_8192_2,_2018_8192_3,_2018_8192_4,_2018_8192_Offset_1,_2018_8192_Offset_2,_2018_8192_Offset_3,_2018_8192_Offset_4,_2018_8192_Offset_5,_2018_8192_Offset_6,_2018_8192_Offset_7,_2018_8192_Offset_8,_2027_1_1,_2027_1_2,_2027_1_3,_2034_1_1,_2034_1_2,_2034_1_3
8,w3,4;98.0,001,8.86341403396859,9.319925886363,18.076209416858,21.0237960416286,14.8660687473185,13.8924439894498,14.8660687473185,12.369316876853,18.3847763108502,10,11.6619037896906,20.8806130178211,10.5333939884619,7.58956932243194,19.0581670909989,10.4905962005373,17.8564151637444,5.75300214233256,10.5570955686615,7.5317038245008,17.4754323214494,7.85828746514879,15.8185512136858,7.4266670356936,10.770329614269,11.6619037896906,21.2602916254693,10.295630140987,17.4928556845359,5.8309518948453,9.8488578017961,4.12310562561766,19.1049731745428,8.54400374531753,18.2482875908947,9.21954445729289,0.7159403040759,9.14268852889256,8.94695713716352,0.608141175767508,10.5708044160397,11.0638775513341,11.1907385215818,9.83876171954778,10.289757676127,8.09730627386595,29.7448806762695,225,320.194427490234,180,90,0,250.645095825195,58.1959915161133,64.2636566162109,2.9375,8.36248779296875,-4.9117431640625,-7.92059326171875,-7.8492431640625,-16.2830810546875,25.3461761474609,340.346160888672,59.7435646057129,250.346176147461,165.963760375977,112.38013458252,-19,-9,-14,5,-7,-12,5,14,12,-3,7,-17,270,59.0362434387207,73.3007583618164,0,10,-6,-10,-6,-20,25.5919075012207,329.845458984375,40.8698616027832,205.09944152832,225.850860595703,142.895950317383,115.230041503906,170.928497314453,88.6499176025391,288.550201416016,268.415130615234,3.63290596008301,-9.5,-4.54998779296875,-6.5625,3.8125,-14.4117431640625,-12.4705810546875,9.5,4.45001220703125,12.4375,12.8125,4.5882568359375,-3.4705810546875,4.5,-9.54998779296875,7.4375,-1.1875,-0.4117431640625,-17.4705810546875,-2.5,7.45001220703125,0.4375,15.8125,-7.4117431640625,-0.4705810546875,21.8014087677002,329.036254882813,41.1859245300293,209.054611206055,239.036239624023,120.963752746582,113.96248626709,194.036239624023,83.9909973144531,290.556030273438,279.462310791016,12.5288076400757,-10,-4,-10,6,-16,-14,9,5,9,15,3,-5,4,-9,4,1,-2,-19,-3,8,-3,18,-9,-2,0,315,53.1301040649414,1.48996019363403,66.4483261108398,242.031158447266,-1.5,-0.45001220703125,-4.4375,-8.8125,3.4117431640625,7.4705810546875,69.2258911132813,88.8307952880859,238.479095458984,-1,-1,-1,-11,5,9,24.0948638916016,206.769470214844,111.57837677002,293.398986816406,-11,-5,8,4,3,-10,-4,7,20,16,17,3.1275151638984,2.17823487422606,1.88233537326433
8,w3,4;98.0,001,10.0547312164616,7.8175264906442,17.8685492388412,21.4709105535839,11.7046999107196,15.2643375224737,16.1245154965971,11.4017542509914,17.2626765016321,9.05538513813742,9.4339811320566,18.0277563773199,10.8300273402187,5.95774504871988,18.0071090035376,10.6437995449174,19.7536827680684,5.82438452834582,9.32143237731649,6.29584548742135,16.1117653433069,7.94296932646313,16.9640618377291,5.6056845500491,6.40312423743285,6.40312423743285,15.6204993518133,15.2315462117278,21.2132034355964,9.21954445729289,10,7.07106781186548,16.0312195418814,9.48683298050514,18.4390889145858,2.23606797749979,1.06420482749328,8.99416653094045,8.87507034600445,4.0745209707998,10.5275534800019,7.8283612395044,10.0050908647448,11.4876127429554,8.45105464762312,8.83749709649456,45,216.869903564453,288.434936523438,198.434951782227,153.434951782227,0,241.577758789063,59.2248153686523,60.5485801696777,4.78570556640625,8.8427734375,-4,-6.7166748046875,-8.78570556640625,-15.5594482421875,27.7585411071777,340.016906738281,58.3924980163574,240.255111694336,164.744888305664,100.00798034668,-19,-10,-11,4,-8,-13,8,14,11,-3,3,-17,263.659820556641,57.9946174621582,70.5599670410156,1,9,-5,-8,-6,-17,28.6946773529053,322.306091308594,41.4352645874023,206.806030273438,223.681350708008,160.787704467773,99.2602691650391,176.74772644043,81.0735702514648,280.885467529297,258.832000732422,348.856689453125,-9.5,-5.199951171875,-4.71429443359375,3.642822265625,-13.5,-11.9166259765625,9.5,4.800048828125,14.2857055664063,13.642822265625,5.5,-1.9166259765625,1.5,-9.199951171875,6.28570556640625,-0.357177734375,-2.5,-15.9166259765625,-1.5,7.800048828125,3.28570556640625,16.642822265625,-5.5,1.0833740234375,38.6598091125488,308.659820556641,50.1944274902344,203.198593139648,225,167.47119140625,126.869895935059,188.130096435547,93.5763320922852,251.565048217773,257.47119140625,333.434936523438,-5,-4,-4,5,-10,-12,14,6,15,15,9,-2,6,-8,7,1,1,-16,3,9,4,18,-2,1,194.036239624023,251.565048217773,161.565048217773,246.060531616211,61.0478897094727,240.042572021484,-0.5,0.199951171875,-5.28570556640625,-8.642822265625,3.5,6.9166259765625,3.19787383079529,61.2218055725098,263.163787841797,-5,-1,-6,-10,0,7,24.9934329986572,210.166580200195,103.214050292969,276.942230224609,-10,-5,9,5,1,-9,-2,8,20,14,12,3.20312228472761,1.65935282230896,1.77560459304648
8,w3,4;98.0,001,15.1811944461919,14.7956851135724,29.4051638161776,27.3130005674953,13.4536240470737,22.8473193175917,25,18.8679622641132,30.0166620396073,14.560219778561,19.4164878389476,33.9558536926993,14.0013143868914,7.21510748461542,26.0288553295113,13.3516996544311,27.2578596371924,13.4642849626213,15.5104807329878,6.83064796344321,30.2938207177742,15.1034538834337,27.6271177583492,6.71893944674632,10,8.94427190999916,27.7308492477241,17.7200451466693,28.3196045170126,19.1049731745428,15.1327459504216,6.08276253029822,34.0587727318528,15.0332963783729,29.4278779391243,5,3.32974170320185,17.6780084514824,11.8027589645412,5.29211537462302,19.2735376538146,15.4182616961858,15.2748146208333,13.1809627062264,18.6785213924404,11.7793323427542,45,213.690063476563,284.036254882813,198.434951782227,126.869895935059,135,235.034912109375,77.4527359008789,66.0978088378906,8.69999694824219,12.4410095214844,-3.21428680419922,-14.4423217773438,-11.9142837524414,-26.8833312988281,23.7494945526123,318.012786865234,66.8014068603516,233.130096435547,147.994613647461,91.9091491699219,-25,-11,-10,9,-9,-21,15,20,16,-10,1,-30,254.054611206055,78.1113433837891,76.3730087280273,4,14,-4,-19,-8,-33,26.7761631011963,301.780944824219,52.8628044128418,200.575424194336,218.944320678711,133.602813720703,80.7245254516602,155.185775756836,79.1272277832031,283.399230957031,259.151031494141,357.867645263672,-12.5,-6.30767822265625,-3.80000305175781,6.13333129882813,-15.7142868041992,-20.75,12.5,4.69232177734375,21.1999969482422,17.1333312988281,9.28571319580078,-9.75,-2.5,-15.3076782226563,6.19999694824219,-2.86666870117188,-5.71428680419922,-29.75,-3.5,14.6923217773438,5.19999694824219,27.1333312988281,-6.71428680419922,0.25,36.8698959350586,296.565063476563,64.3589935302734,196.389541625977,222.137588500977,132.87890625,97.5946426391602,170.537673950195,86.6335372924805,266.185913085938,260.217590332031,53.1301040649414,-8,-6,-4,8,-12,-25,17,5,21,19,13,-14,2,-15,6,-1,-2,-34,1,15,5,29,-3,-4,165.963760375977,251.565048217773,119.05460357666,100.459396362305,62.745548248291,251.122344970703,0.5,-3.69232177734375,-8.19999694824219,-16.1333312988281,3.71428680419922,10.75,42.5998039245605,65.816764831543,269.611755371094,-4,-4,-8,-18,0,15,38.8521690368652,186.175399780273,84.1755142211914,284.229949951172,-12,-10,13,1,-2,-19,-3,11,26,15,28,4.0406743194532,2.00987646504204,3.39750465813289
6,w1,4;98.0,001,7.31140722358457,10.4619693446633,17.7733358501839,19.4164878389476,11.1803398874989,15.2970585407784,13.9283882771841,13.6014705087354,18.7882942280559,5.8309518948453,16.6433169770932,19.9248588451713,9.39034607547611,5.70087712549569,18.7955855349816,10.0311470888034,16.3248277173145,7.05709572387487,8.23011249989693,5.52268050859363,17.5342539331856,10.5599287644832,16.6883192682786,7.60670271719672,3.60555127546399,5.3851648071345,20.2484567313166,16.1245154965971,17.0293863659264,7.81024967590665,10.295630140987,6,19,12.0415945787923,17.1172427686237,8.24621125123532,1.99787028456159,9.30905397972685,8.46429289141933,7.57940402617511,9.93661440439786,9.99120595557348,11.0273807910469,8.62179243806788,9.8422234511472,9.16528336184632,63.4349479675293,225,341.565063476563,180,104.036247253418,26.5650520324707,253.217559814453,73.466796875,73.3642654418945,2.111083984375,7,-2.9771728515625,-10.0294189453125,-5.0882568359375,-17.0294189453125,34.5085220336914,349.695159912109,78.690071105957,248.962493896484,162.897277832031,115.201126098633,-16,-11,-11,2,-3,-15,5,13,13,-4,8,-17,300.963745117188,57.2647743225098,72.4744338989258,-3,5,-9,-14,-6,-19,35.8530158996582,344.744873046875,55.7130813598633,213.249938964844,229.969741821289,140.071975708008,114.316093444824,174.805572509766,91.3455581665039,295.890869140625,278.615661621094,3.99095582962036,-7.611083984375,-5.5,-5.5,1.5,-10.5882568359375,-15.5294189453125,8.388916015625,5.5,10.5,12.5,5.4117431640625,-4.5294189453125,3.388916015625,-7.5,5.5,-0.5,0.4117431640625,-17.5294189453125,-4.611083984375,9.5,-2.5,16.5,-7.5882568359375,-0.5294189453125,56.3099327087402,338.198577880859,57.0947570800781,209.744888305664,229.763641357422,129.805572509766,150.945388793945,180,90,265.236358642578,276.709838867188,14.0362434387207,-2,-3,-5,2,-11,-17,14,8,11,13,5,-6,9,-5,6,0,0,-19,1,12,-2,17,-8,-2,198.434951782227,270,63.4349479675293,74.1846771240234,73.4251098632813,253.297348022461,-1.388916015625,-2.5,-3.5,-9.5,1.5882568359375,7.5294189453125,35.6939163208008,71.4839172363281,253.459533691406,-7,-5,-4,-10,2,9,42.3047485351563,204.517227172852,106.798210144043,304.229675292969,-9,-8,7,3,2,-10,-6,7,18,12,17,2.90919522282639,1.67728031134204,1.95117987198228
6,w1,4;98.0,001,6.6365863007727,7.03561236583127,13.5866048834307,18.0277563773199,10.0498756211209,5.3851648071345,12.0830459735946,13.9283882771841,10,7.61577310586391,9.05538513813742,16.1245154965971,8.94514533140742,5.15943584279184,14.6375311500566,9.08381114951208,15.0689707604197,6.61830763135513,6.38479639456107,5.00743128356597,12.8905679470302,5.50142027116635,6.95318840512287,9.51470099192579,9.4339811320566,5.3851648071345,15.6524758424985,8.60232526704263,15.6204993518133,8.94427190999916,6.32455532033676,5.09901951359278,15.2970585407784,6,7.61577310586391,10.295630140987,1.80669050921055,8.32147716935911,5.27324323684895,1.76958756957207,9.01915657273847,7.33271909102936,10.0044958023947,8.25024974351968,8.09413275701968,5.70030707183911,36.8698959350586,225,326.309936523438,180,111.801406860352,71.5650482177734,247.870590209961,80.705192565918,74.4759750366211,2.5,6.147705078125,-1.1363525390625,-6.9432373046875,-3.6363525390625,-13.0909423828125,33.6900672912598,354.289398193359,68.1985931396484,245.556045532227,201.037506103516,143.130096435547,-15,-10,-10,1,-2,-5,5,11,13,5,8,-6,246.801406860352,96.3401947021484,82.8749847412109,3,7,1,-9,-2,-16,33.023868560791,345.719146728516,53.8419761657715,214.346099853516,228.423812866211,164.054168701172,113.051300048828,183.121871948242,96.0724792480469,358.698059082031,295.56005859375,45.7745018005371,-7.5,-4.875,-5,1.272705078125,-8.6363525390625,-11.8182373046875,7.5,5.125,10,11.272705078125,6.3636474609375,-1.8182373046875,2.5,-5.875,5,0.272705078125,1.3636474609375,-12.8182373046875,-5.5,0.125,-3,6.272705078125,-6.6363525390625,-6.8182373046875,32.0053825378418,338.198577880859,63.4349479675293,215.537673950195,230.194427490234,153.434951782227,108.434951782227,191.309936523438,101.309928894043,0,293.198577880859,60.9453964233398,-8,-5,-5,2,-7,-14,7,5,10,12,8,-4,2,-6,5,1,3,-15,-6,0,-3,7,-5,-9,0,270,98.1301040649414,91.686164855957,72.9000854492188,256.963287353516,-0.5,-2.125,-3,-8.272705078125,0.6363525390625,4.8182373046875,108.215599060059,74.2587509155273,273.493621826172,0,-2,-3,-9,-1,7,41.8967704772949,203.72216796875,108.386993408203,17.1503601074219,-8,-7,7,3,2,-8,-6,-2,16,11,22,2.74530757611138,1.48838483993575,1.89690277256978
6,w1,4;98.0,001,9.22115736135228,10.709145344205,19.7498847046638,22.8035085019828,8.06225774829855,15,18.0277563773199,18.0277563773199,17.8885438199983,6.32455532033676,16.5529453572468,21.5870331449229,10.6762636958869,4.21636377993165,20.190962673196,12.145156372027,20.7632003120086,8.4874633558719,7.90607639756362,4.01386317008402,18.5433678770897,11.4821187860348,16.8159779130789,10.507207721373,4.47213595499958,4.47213595499958,21.0237960416286,18.8679622641132,21.2602916254693,10.295630140987,7.81024967590665,4.12310562561766,20.0249843945008,11.1803398874989,17.464249196573,9.8488578017961,3.13819109730456,12.1519710050759,7.62207825762318,8.71321424850805,12.7780953855036,8.98890157715842,13.0138404764563,10.4956945693712,11.0435289310682,9.65197923362567,90,225,333.434936523438,206.565048217773,128.659805297852,0,243.302490234375,78.7763977050781,71.6205978393555,4.14288330078125,8.23809814453125,-2.08441162109375,-10.5043334960938,-6.227294921875,-18.742431640625,37.8749847412109,352.874969482422,90,236.309936523438,176.820175170898,116.565048217773,-18,-14,-8,1,0,-15,10,15,18,-1,8,-16,288.434936523438,64.9831085205078,76.6075057983398,-2,6,-7,-15,-5,-21,40.2963905334473,341.565307617188,59.567138671875,215.74658203125,227.602523803711,156.317687988281,88.9644622802734,184.76335144043,83.1013870239258,315.168182373047,283.760803222656,13.2548322677612,-8.14288330078125,-6.90478515625,-4,1.33331298828125,-10.227294921875,-17.4091186523438,9.85711669921875,7.09521484375,14,15.3333129882813,7.772705078125,-3.40911865234375,-0.14288330078125,-7.90478515625,4,0.33331298828125,-2.227294921875,-18.4091186523438,-8.14288330078125,8.09521484375,-4,16.3333129882813,-10.227294921875,-2.40911865234375,63.4349479675293,333.434936523438,64.6538238525391,212.005386352539,228.814071655273,150.945388793945,140.194427490234,194.036239624023,87.1375961303711,280.304840087891,283.240509033203,23.9624881744385,-2,-4,-4,2,-9,-19,16,10,14,16,9,-5,6,-5,4,1,-1,-20,-2,11,-4,17,-9,-4,203.198593139648,270,90,87.495246887207,69.3775329589844,255.198150634766,-0.85711669921875,-4.09521484375,-5,-12.3333129882813,1.227294921875,6.40911865234375,43.8837509155273,70.4304733276367,265.405944824219,-7,-7,-5,-13,0,8,50.4873962402344,202.166519165039,88.547004699707,329.076934814453,-9,-11,9,3,-1,-12,-9,4,21,9,22,3.51793996000945,1.21148569489025,2.66994162775563
6,w1,4;98.0,001,8.60277538860525,15.6444926495975,24.2239575666278,27.459060435492,15.1327459504216,21.8403296678416,15.2643375224737,18.0277563773199,21.0237960416286,14.422205101856,14.0356688476182,26.9258240356725,12.9793358152546,7.57488655030556,26.9740709703091,14.490855279133,22.3216017850422,9.37810713220665,6.16639582755004,8.10116696840647,19.5624043234566,15.1189707120773,22.1134327106851,10.2741197170984,20.591260281974,10.1980390271856,29.4108823397055,7.07106781186548,21.4009345590327,10.816653826392,8.54400374531753,6.40312423743285,22.0907220343745,16.2788205960997,23.3452350598575,11.4017542509914,3.57192129756346,12.1463508526544,12.0804238643835,5.93857948535217,12.3670913702493,14.6620833185924,15.7943750412756,11.9451056732887,8.70349683536569,12.3918762268283,45,225,333.434936523438,225,99.4623184204102,30.9637565612793,245.408889770508,70.6604995727539,68.7977523803711,3.5799560546875,7.822509765625,-5.180908203125,-14.76171875,-8.7608642578125,-22.584228515625,33.1113433837891,7.59464359283447,74.0546035766602,238.392501831055,160.559967041016,115.346176147461,-23,-15,-15,-2,-6,-21,8,13,17,-6,9,-19,236.309936523438,94.0856170654297,74.931510925293,8,12,1,-14,-7,-26,31.3878517150879,351.936767578125,52.9269218444824,214.655014038086,226.021011352539,135.939254760742,129.472717285156,202.211837768555,86.3045272827148,289.63330078125,273.889465332031,2.91078019142151,-11.0799560546875,-6.760009765625,-7.5,1.0625,-16.2608642578125,-21.521728515625,11.9200439453125,8.239990234375,15.5,16.0625,6.7391357421875,-6.521728515625,3.9200439453125,-4.760009765625,7.5,3.0625,-1.2608642578125,-19.521728515625,-5.0799560546875,14.239990234375,-1.5,22.0625,-10.2608642578125,-0.521728515625,29.0546035766602,348.690063476563,54.6887855529785,225,232.594650268555,123.690071105957,69.4439544677734,218.659805297852,84.8055725097656,317.489562988281,279.865814208984,15.2551183700562,-18,-10,-10,2,-17,-24,5,5,13,17,6,-9,-3,-8,5,4,-2,-22,-12,11,-4,23,-11,-3,23.1985912322998,315,63.4349479675293,73.9989318847656,67.9263534545898,249.673904418945,-1.9200439453125,-4.239990234375,-5.5,-12.0625,3.2608642578125,10.521728515625,178.132354736328,80.3899841308594,250.329437255859,5,-1,-3,-13,4,13,40.1949729919434,203.726974487305,109.710609436035,299.301116943359,-13,-11,10,4,2,-9,-7,10,25,16,23,4.06657517963311,2.23153341594347,2.38698063183491
6,w1,4;98.0,001,9.55289725381421,10.5346448789766,19.9929349890175,20.1246117974981,11.7046999107196,15.1327459504216,14.7648230602334,17.0880074906351,21.0237960416286,9,15.2643375224737,23.4093998214393,10.2449269090716,5.95776370853223,19.1320300911167,9.89207357723217,18.3398936445931,8.64651939079315,9.11682435701125,6.29584375616297,19.0630066586656,12.292932163679,18.8394096024377,9.81828142367209,6.40312423743285,7.07106781186548,21.4009345590327,13.9283882771841,19.1049731745428,9.4339811320566,10,6.08276253029822,21.095023109729,11.4017542509914,20.2237484161567,11.1803398874989,1.97353612945154,11.3652370412397,8.63728050553492,4.95261463394288,12.5359862119458,10.8792678906876,11.3511785083643,9.21236593638892,11.0436455725751,10.7545643749963,45,225,303.690063476563,198.434951782227,90,26.5650520324707,243.344253540039,74.4835510253906,69.1869659423828,4.28570556640625,8.53759765625,-2.81817626953125,-10.1506958007813,-7.1038818359375,-18.6882934570313,26.5650520324707,340.016906738281,82.4053573608398,241.699249267578,159.443954467773,115.346176147461,-18,-9,-11,4,-2,-15,7,13,16,-6,9,-19,270,58.3924980163574,70.0168914794922,0,9,-8,-13,-8,-22,28.5400238037109,322.305847167969,51.8504066467285,204.519607543945,223.579742431641,135.639053344727,102.672302246094,176.748016357422,87.5401306152344,304.710693359375,278.283752441406,0.265175551176071,-9,-4.89474487304688,-4.71429443359375,3.64285278320313,-11.8181762695313,-15.0454406738281,9,4.10525512695313,13.2857055664063,12.6428527832031,6.18182373046875,-6.04544067382813,2,-8.89474487304688,6.28570556640625,-0.357147216796875,-0.81817626953125,-19.0454406738281,-7,10.1052551269531,-2.71429443359375,18.6428527832031,-9.81817626953125,-0.045440673828125,38.6598091125488,315,52.5946426391602,201.037506103516,227.12109375,122.005386352539,126.869895935059,189.462326049805,84.5596694946289,285.255126953125,278.53076171875,10.3048467636108,-5,-4,-5,5,-13,-17,13,5,13,14,5,-8,6,-8,6,1,-2,-21,-3,11,-3,20,-11,-2,180,270,59.0362434387207,88.9039688110352,67.6408843994141,251.221527099609,-1,-2.10525512695313,-5.28570556640625,-10.6428527832031,1.81817626953125,8.04544067382813,35.3852920532227,71.2104644775391,248.641525268555,-5,-3,-5,-12,3,10,37.2317390441895,193.38166809082,100.234733581543,310.873901367188,-10,-7,8,2,1,-11,-8,8,19,14,22,3.0441448588303,1.75178549996175,2.3534279328728
6,w1,4;98.0,001,8.86412377958837,9.57368163298154,18.4061273794671,20.8806130178211,10.295630140987,16.2788205960997,15.556349186104,10.816653826392,17.1172427686237,15.6204993518133,7.61577310586391,19.2353840616713,10.2578986548639,5.48292804986533,18.6948053064503,10.6675173524044,19.0804219030922,5.59589662562798,7.3540204494865,5.34438958160799,16.3497388316323,9.7656217474485,17.5659471705912,5.37210242454048,18.4390889145858,8.48528137423857,18.6010752377383,2.82842712474619,18.4390889145858,7.07106781186548,12.7279220613579,3.16227766016838,17.0880074906351,10.6301458127347,18.6815416922694,4.12310562561766,0.277666587822334,8.80167447206926,9.61219222645091,8.38663543575119,9.22998885901121,10.0452520104373,10.0594571960261,10.843143793915,7.46753932813589,9.65117418812557,13.2405195236206,225,296.565063476563,180,123.690071105957,0,225.163223266602,51.8864364624023,48.6543502807617,6.25,6.28571319580078,-5.90908813476563,-7.53246688842773,-12.1590881347656,-13.8181800842285,16.6992435455322,330.945404052734,47.4895515441895,225,146.309936523438,83.2901611328125,-20,-6,-9,5,-11,-12,11,11,9,-6,-2,-17,219.805572509766,113.198593139648,62.1027297973633,12,10,3,-7,-9,-17,12.8749952316284,313.152404785156,31.680513381958,200.376434326172,211.607498168945,136.974960327148,82.1847076416016,169.215698242188,65.0023574829102,264.122619628906,245.62353515625,336.037475585938,-10,-2.28571319580078,-3.75,4,-15.9090881347656,-9.81818008422852,10,3.71428680419922,16.25,10,4.09091186523438,-3.81818008422852,-1,-7.28571319580078,5.25,-1,-6.90908813476563,-14.8181800842285,1,9.71428680419922,7.25,16,-4.90908813476563,2.18181991577148,12.5288076400757,315,36.2538375854492,225,220.601287841797,135,45,198.434951782227,69.4439544677734,311.185913085938,254.475891113281,345.963745117188,-18,-4,-6,6,-15,-11,2,2,14,12,5,-5,-9,-9,3,1,-6,-16,-7,8,5,18,-4,1,7.12501621246338,303.690063476563,90,149.036651611328,46.918285369873,230.243988037109,0,-0.714286804199219,-6.25,-7,5.90908813476563,6.81818008422852,190.799530029297,65.9474792480469,238.570419311523,8,1,-4,-9,5,8,13.9704570770264,199.230682373047,84.1440048217773,262.629516601563,-10,-3,10,3,-1,-8,1,9,21,12,11,3.11320596351562,1.48098480096039,1.74914388929813
6,w1,4;98.0,001,10.6565759282455,12.088698653376,22.5158424568794,23.8537208837531,12.369316876853,14.560219778561,17.8885438199983,16.0312195418814,18.7882942280559,12.2065556157337,15,25.9615099714943,11.8624164572579,6.07108583581114,21.9640008120835,11.9921393682402,21.893492233335,9.41937273122618,9.59180967687002,6.80129541768325,21.2700955677747,9.69790924564014,17.1753345361571,9.2379882753947,11.6619037896906,5,23.259406699226,12.2065556157337,24.0416305603426,12.8062484748657,9.21954445729289,9.05538513813742,24.0831891575846,10,18.0277563773199,9.21954445729289,2.78030555205427,13.0990063059392,9.44059185552919,3.15992939939958,14.7812598275803,11.8526124287988,13.3710675257415,10.9491922995404,12.3566012018805,7.5222844391973,33.6900672912598,225,288.434936523438,180,99.4623184204102,108.434951782227,243.229049682617,79.5514221191406,71.907585144043,4.79998779296875,9.51434326171875,-2.19232177734375,-11.8882446289063,-6.9923095703125,-21.402587890625,33.023868560791,345.963745117188,74.0546035766602,243.434951782227,176.42366027832,115.201126098633,-20,-13,-12,3,-4,-14,8,16,16,-1,8,-17,235.00798034668,90,74.3577499389648,7,10,0,-15,-7,-25,32.5418701171875,328.928161621094,56.2820663452148,213.50065612793,227.468185424805,145.985473632813,102.035118103027,181.123550415039,89.48193359375,308.220550537109,274.006439208984,27.5251598358154,-10,-6.3809814453125,-5.20001220703125,3.13336181640625,-12.1923217773438,-18.2692260742188,10,6.6190185546875,14.7999877929688,16.1333618164063,7.80767822265625,-5.26922607421875,2,-9.3809814453125,6.79998779296875,0.13336181640625,-0.19232177734375,-21.2692260742188,-6,7.6190185546875,-1.20001220703125,17.1333618164063,-8.19232177734375,-4.26922607421875,30.9637565612793,306.869903564453,64.5366516113281,214.99201965332,225,141.340194702148,102.52880859375,186.340194702148,94.7636413574219,306.869903564453,266.820159912109,49.3987045288086,-10,-6,-3,4,-10,-21,10,7,17,17,10,-8,2,-9,9,1,2,-24,-6,8,1,18,-6,-7,180,213.690063476563,104.036247253418,95.1588973999023,69.6744613647461,255.006805419922,0,-3.6190185546875,-4.79998779296875,-13.1333618164063,2.19232177734375,8.26922607421875,94.5377349853516,62.8282508850098,268.791412353516,0,-4,-7,-14,0,11,43.1817741394043,200.586547851563,100.491455078125,319.853240966797,-10,-10,10,3,2,-13,-6,4,21,15,26,3.56372263326563,1.86668013693852,2.42022475569688
