IdentityKey,IdentityName,Isomorphism,ShapeCode,_2001_16_1,_2001_16_2,_2001_16_3,_2001_16_4,_2001_16_5,_2001_16_6,_2001_2_1,_2001_2_2,_2001_2_3,_2001_2_4,_2001_2_5,_2001_2_6,_2001_32_1,_2001_32_2,_2001_32_3,_2001_32_4,_2001_32_5,_2001_32_6,_2001_4_1,_2001_4_2,_2001_4_3,_2001_4_4,_2001_4_5,_2001_4_6,_2001_4_7,_2001_4_8,_2001_4_9,_2001_4_10,_2001_4_11,_2001_4_12,_2001_4_13,_2001_4_14,_2001_4_15,_2001_4_16,_2001_8_1,_2001_8_2,_2001_8_3,_2001_8_4,_2001_8_5,_2001_8_6,_2001_8_7,_2001_8_8,_2001_8_9,_2001_8_10,_2001_8_11,_2001_8_12,_2001_8_13,_2001_8_14,_2001_8_15,_2001_8_16,_2002_16384_1,_2002_16384_2,_2002_16384_3,_2002_16384_4,_2002_32768_1,_2002_32768_2,_2002_32768_3,_2002_32768_4,_2002_8192_1,_2002_8192_2,_2002_8192_3,_2002_8192_4,_2006_549755813888_1,_2006_549755813888_2,_2006_549755813888_3,_2006_549755813888_4,_2006_549755813888_5,_2006_549755813888_6,_2006_549755813888_7,_2006_549755813888_8,_2008_16_1,_2008_16_2,_2008_16_3,_2008_16_4,_2008_16_5,_2008_16_6,_2008_16_Offset_1,_2008_16_Offset_2,_2008_16_Offset_3,_2008_16_Offset_4,_2008_16_Offset_5,_2008_16_Offset_6,_2008_16_Offset_7,_2008_16_Offset_8,_2008_16_Offset_9,_2008_16_Offset_10,_2008_16_Offset_11,_2008_16_Offset_12,_2008_2_1,_2008_2_2,_2008_2_3,_2008_2_4,_2008_2_5,_2008_2_6,_2008_2_Offset_1,_2008_2_Offset_2,_2008_2_Offset_3,_2008_2_Offset_4,_2008_2_Offset_5,_2008_2_Offset_6,_2008_2_Offset_7,_2008_2_Offset_8,_2008_2_Offset_9,_2008_2_Offset_10,_2008_2_Offset_11,_2008_2_Offset_12,_2008_32_1,_2008_32_2,_2008_32_3,_2008_32_4,_2008_32_5,_2008_32_6,_2008_32_Offset_1,_2008_32_Offset_2,_2008_32_Offset_3,_2008_32_Offset_4,_2008_32_Offset_5,_2008_32_Offset_6,_2008_32_Offset_7,_2008_32_Offset_8,_2008_32_Offset_9,_2008_32_Offset_10,_2008_32_Offset_11,_2008_32_Offset_12,_2008_4_1,_2008_4_2,_2008_4_3,_2008_4_4,_2008_4_5,_2008_4_6,_2008_4_7,_2008_4_8,_2008_4_9,_2008_4_10,_2008_4_11,_2008_4_12,_2008_4_13,_2008_4_14,_2008_4_15,_2008_4_16,_2008_4_Offset_1,_2008_4_Offset_2,_2008_4_Offset_3,_2008_4_Offset_4,_2008_4_Offset_5,_2008_4_Offset_6,_2008_4_Offset_7,_2008_4_Offset_8,_2008_4_Offset_9,_2008_4_Offset_10,_2008_4_Offset_11,_2008_4_Offset_12,_2008_4_Offset_13,_2008_4_Offset_14,_2008_4_Offset_15,_2008_4_Offset_16,_2008_4_Offset_17,_2008_4_Offset_18,_2008_4_Offset_19,_2008_4_Offset_20,_2008_4_Offset_21,_2008_4_Offset_22,_2008_4_Offset_23,_2008_4_Offset_24,_2008_4_Offset_25,_2008_4_Offset_26,_2008_4_Offset_27,_2008_4_Offset_28,_2008_4_Offset_29,_2008_4_Offset_30,_2008_4_Offset_31,_2008_4_Offset_32,_2008_8_1,_2008_8_2,_2008_8_3,_2008_8_4,_2008_8_5,_2008_8_6,_2008_8_7,_2008_8_8,_2008_8_9,_2008_8_10,_2008_8_11,_2008_8_12,_2008_8_13,_2008_8_14,_2008_8_15,_2008_8_16,_2008_8_Offset_1,_2008_8_Offset_2,_2008_8_Offset_3,_2008_8_Offset_4,_2008_8_Offset_5,_2008_8_Offset_6,_2008_8_Offset_7,_2008_8_Offset_8,_2008_8_Offset_9,_2008_8_Offset_10,_2008_8_Offset_11,_2008_8_Offset_12,_2008_8_Offset_13,_2008_8_Offset_14,_2008_8_Offset_15,_2008_8_Offset_16,_2008_8_Offset_17,_2008_8_Offset_18,_2008_8_Offset_19,_2008_8_Offset_20,_2008_8_Offset_21,_2008_8_Offset_22,_2008_8_Offset_23,_2008_8_Offset_24,_2008_8_Offset_25,_2008_8_Offset_26,_2008_8_Offset_27,_2008_8_Offset_28,_2008_8_Offset_29,_2008_8_Offset_30,_2008_8_Offset_31,_2008_8_Offset_32,_2013_1_1,_2013_1_2,_2013_1_3,_2013_1_4,_2018_16384_1,_2018_16384_2,_2018_16384_3,_2018_16384_4,_2018_16384_Offset_1,_2018_16384_Offset_2,_2018_16384_Offset_3,_2018_16384_Offset_4,_2018_16384_Offset_5,_2018_16384_Offset_6,_2018_16384_Offset_7,_2018_16384_Offset_8,_2018_32768_1,_2018_32768_2,_2018_32768_3,_2018_32768_4,_2018_32768_Offset_1,_2018_32768_Offset_2,_2018_32768_Offset_3,_2018_32768_Offset_4,_2018_32768_Offset_5,_2018_32768_Offset_6,_2018_32768_Offset_7,_2018_32768_Offset_8,_2018_8192_1,_2018_8192_2,_2018_8192_3,_2018_8192_4,_2018_8192_Offset_1,_2018_8192_Offset_2,_2018_8192_Offset_3,_2018_8192_Offset_4,_2018_8192_Offset_5,_2018_8192_Offset_6,_2018_8192_Offset_7,_2018_8192_Offset_8,_2027_1_1,_2027_1_2,_2027_1_3,_2027_1_4,_2034_1_1,_2034_1_2,_2034_1_3,_2034_1_4
8,w3,4;120.0,301,6.45295474957015,9.1706568123833,6.03470827742473,8.46436390157037,12.1123242684486,14.5466697041492,6.32455532033676,7.61577310586391,13.4536240470737,12.7279220613579,17.464249196573,17.464249196573,7.07106781186548,13,9.21954445729289,12.2065556157337,15.6524758424985,21.2132034355964,3.16227766016838,3.85883726010828,6.91326313058455,9.19516203091976,3.16227766016838,9.40162884823688,11.8494171007828,2.87826392333443,10,3.76040223912283,11.2500051685494,15.2540011045215,15.2643375224737,15.0462827635267,6.65815656992044,19.8381046076309,3.16227766016838,4.47213595499958,10.816653826392,12.369316876853,3.16227766016838,10,15.52417469626,6.08276253029822,10,3.16227766016838,14.3178210632764,18.0277563773199,15.2643375224737,15.2643375224737,3.16227766016838,22.8035085019828,1.75746575750341,6.00151312301741,7.42022847483268,7.47908535732609,1.75746575750341,6.62256288827139,11.2426381880704,10.6955979166687,2.18659341707816,4.62560061029749,9.73558200533214,13.5282027584292,243.434951782227,45,26.5650520324707,180,135,0,284.036254882813,213.690063476563,45.7848243713379,108.587013244629,253.967437744141,151.280426025391,239.394439697266,274.954864501953,-4.5,-4.625,2.923095703125,-8.69232177734375,1.66668701171875,5.79998779296875,7.423095703125,-4.06732177734375,6.16668701171875,10.4249877929688,-1.25640869140625,14.4923095703125,251.565048217773,23.1985912322998,131.987213134766,45,113.629379272461,156.370620727539,2,6,-7,-3,9,-10,-9,-9,7,-16,16,-7,45,112.61986541748,257.47119140625,145.00798034668,243.434951782227,278.130096435547,-5,-5,5,-12,2,9,10,-7,7,14,-3,21,251.565048217773,24.9047679901123,124.574256896973,253.141464233398,71.5650482177734,54.1966552734375,99.3401031494141,256.607055664063,216.869903564453,201.447738647461,166.153747558594,230.675262451172,301.607513427734,326.177917480469,319.685882568359,288.617553710938,1,3,-3.5,-1.625,3.923095703125,-5.69232177734375,2.66668701171875,8.79998779296875,-1,-3,-5.5,-7.625,1.923095703125,-11.6923217773438,0.66668701171875,2.79998779296875,8,6,3.5,1.375,10.923095703125,-2.69232177734375,9.66668701171875,11.7999877929688,-8,13,-12.5,8.375,-5.076904296875,4.30767822265625,-6.33331298828125,18.7999877929688,251.565048217773,26.5650520324707,123.690071105957,255.963760375977,71.5650482177734,53.1301040649414,104.931419372559,260.537689208984,216.869903564453,198.434951782227,155.224853515625,236.309936523438,301.607513427734,328.392486572266,341.565063476563,285.255126953125,1,3,-4,-2,6,-9,3,12,-1,-3,-6,-8,4,-15,1,6,8,6,3,1,13,-6,10,15,-8,13,-13,8,-3,1,-6,22,180,45,104.036247253418,260.537689208984,113.199371337891,210.098022460938,287.495697021484,82.5143051147461,0,-2,4.5,2.625,-2.923095703125,6.69232177734375,-1.66668701171875,-7.79998779296875,113.199371337891,210.735641479492,292.529266357422,82.9772644042969,0,-2,5,3,-5,10,-2,-11,219.289749145508,86.1860733032227,206.767623901367,302.695953369141,1,1,-1,-5,8,4,-8,11,7,8,13,15,1.08895508945792,1.22138335658758,1.89328193476487,0.443607351034742
8,w3,4;120.0,301,6.40780211761825,10.7950926995574,9.48399186857969,11.8432547816078,14.7430291130185,19.1746789770824,5,9,18.8679622641132,12.6491106406735,21.1896201004171,24.8394846967484,6.70820393249937,5.09901951359278,17.0880074906351,7.28010988928052,22.4722050542442,21.5870331449229,2.44130762301548,4.52769256906871,9.44201491282804,11.8778254535683,2.56125350781356,8.74642784226795,12.4604576262931,7.06324133315831,10.5905558422074,4.52769256906871,15.7528268593714,17.6658636218396,19.9489374398865,21.2249852767911,9.488928715754,27.2370368249822,2.23606797749979,5.09901951359278,3.60555127546399,19.313207915828,2.82842712474619,9.4339811320566,7.07106781186548,14.560219778561,10.1980390271856,4.12310562561766,11.4017542509914,24.0831891575846,20.1246117974981,21.2132034355964,15.2643375224737,34.132096331752,2.01556443707464,8.41263375027394,11.4502265565462,7.99126026088695,2.3711756060908,9.07867834614337,6.10921320318348,15.4862050547288,4.34999558021486,1.01118651542758,12.5148852046117,20.1970934448054,225,45,0,153.434951782227,135,333.434936523438,276.340179443359,230.194427490234,22.963794708252,105.767150878906,247.691864013672,138.232421875,229.881362915039,268.007507324219,-5.89999389648438,-2.5,2.93333435058594,-10.388916015625,3.60000610351563,8.774169921875,8.83332824707031,-7.888916015625,9.5,11.274169921875,0.666671752929688,19.1630859375,233.130096435547,0,122.005386352539,18.4349479675293,109.290046691895,139.89909362793,3,4,-9,0,10,-16,-12,-4,7,-20,19,-16,26.5650520324707,101.309928894043,249.443954467773,164.054611206055,237.724349975586,256.607513427734,-6,-3,1,-5,6,16,7,-2,12,19,5,21,235.008102416992,6.34019184112549,117.318794250488,245.105270385742,51.3400840759277,30.9637565612793,96.1426849365234,253.551330566406,190.885528564453,173.659805297852,147.823165893555,217.581283569336,295.537445068359,313.090850830078,306.668762207031,280.577972412109,1.39999389648438,2,-4.5,-0.5,4.33332824707031,-8.388916015625,5,10.774169921875,-1.60000610351563,-2,-7.5,-4.5,1.33332824707031,-12.388916015625,2,6.774169921875,10.3999938964844,2,4.5,-0.5,13.3333282470703,-8.388916015625,14,10.774169921875,-8.60000610351563,18,-14.5,15.5,-5.66667175292969,7.611083984375,-5,26.774169921875,243.434951782227,11.3099327087402,123.690071105957,248.749496459961,45,32.0053825378418,81.8698959350586,254.054611206055,191.309936523438,165.963760375977,164.744888305664,228.366455078125,296.565063476563,315,301.607513427734,275.042449951172,1,2,-5,-1,2,-3,7,18,-2,-2,-8,-5,-1,-7,4,14,10,2,4,-1,11,-3,16,18,-9,18,-15,15,-8,13,-3,34,0,45,300.963745117188,254.054611206055,209.744888305664,204.584884643555,275.931884765625,76.614387512207,1.60000610351563,1,7.5,3.5,-1.33332824707031,11.388916015625,-2,-7.774169921875,204.943969726563,206.141708374023,259.149963378906,75.6047973632813,2,1,8,4,1,6,-4,-15,223.602874755859,98.5304260253906,193.869689941406,289.825592041016,3,3,0,-1,12,3,-7,19,5,10,18,31,0.83766484457856,1.35741913180587,2.73855636492366,1.48214831681073
7,w2,4;120.0,301,12.6095915414297,6.097017026484,15.6888752512983,11.7453448225244,19.2892758664045,21.3003858031228,5,23.0217288664427,7.07106781186548,23.7697286480094,12.0415945787923,22.8035085019828,7.28010988928052,7.07106781186548,28.7923600977759,7.81024967590665,29.1547594742265,35.1710107901379,2.63523218768355,11.5006793277615,3.50891721190455,17.9057565768503,2.63523218768355,12.5902988447455,8.50367567584748,13.0549177282049,24.0889580306078,11.5332400044393,22.8869504303216,26.7447704152789,9.67528399768881,12.5505228974732,3.57945526581909,24.6671450982953,3.16227766016838,6.08276253029822,4,31.3209195267317,2.23606797749979,7.21110255092798,9,26.5706605111728,24.3310501211929,17.1172427686237,23.1948270094864,34.0147027033899,10.1980390271856,9.4339811320566,3.16227766016838,37.8549864614954,10.0905127931433,12.224675886746,14.8659123832898,7.25898249382675,9.80872467487064,9.47519482924249,15.4215728871546,19.8787543909103,11.7553577446391,7.65786147972974,21.0201701790635,17.9945065581375,225,135,341.565063476563,180,90,270,299.054595947266,261.869903564453,12.0154161453247,79.7651748657227,286.809387207031,163.300750732422,246.160385131836,279.331298828125,-12.3333358764648,-2.625,-1.08333587646484,-6,-4.53704071044922,15.0185241699219,11.25,-3.375,7.79629516601563,17.6435241699219,-3.45370483398438,21.0185241699219,270,2.48955297470093,81.8698959350586,14.6208744049072,85.2363586425781,164.744888305664,0,5,-23,-1,-1,-7,-23,-6,-1,-12,22,-6,15.9453954696655,81.8698959350586,290.323150634766,140.194427490234,275.906127929688,284.826477050781,-7,-2,-1,-7,-10,27,6,-5,-3,29,-9,34,251.565002441406,0.622755706310272,85.9143829345703,281.9375,108.434997558594,24.0202465057373,88.315315246582,286.481262207031,188.354354858398,184.35107421875,173.728927612305,223.821716308594,259.077178955078,326.784759521484,257.905242919922,276.292694091797,0.833335876464844,2.5,-11.5,-0.125,-0.25,-3.5,-3.70370483398438,17.5185241699219,0.833335876464844,-2.5,-11.5,-5.125,-0.25,-8.5,-3.70370483398438,12.5185241699219,23.8333358764648,3.5,11.5,0.875,22.75,-2.5,19.2962951660156,18.5185241699219,1.83333587646484,9.5,-10.5,6.875,0.75,3.5,-2.70370483398438,24.5185241699219,251.565048217773,350.537689208984,90,286.699249267578,116.565048217773,33.6900672912598,90,289.798889160156,189.462326049805,186.709838867188,172.568588256836,245.695449829102,258.690063476563,302.00537109375,251.565048217773,282.200469970703,1,3,-6,1,0,-4,-9,30,1,-2,-6,-4,0,-9,-9,25,24,4,17,2,23,-3,14,31,2,10,-5,8,1,3,-8,37,180,191.309936523438,90,289.798889160156,307.971160888672,239.931442260742,290.166442871094,76.6889038085938,-6.83333587646484,7.5,5.5,10.125,-5.75,13.5,-2.29629516601563,-7.51852416992188,310.536437988281,266.217926025391,290.397888183594,100.506988525391,-7,7,0,9,-6,14,3,-20,297.209045410156,314.579071044922,213.020004272461,284.071350097656,-6,10,-6,5,17,11,-5,17,6,24,8,54,0.750693132293675,3.46233817290002,1.11811915748405,2.97285424905401
